time,value
1533064091.853,301,723,844,776
1533064091.861,302,739,848,800
1533064091.868,307,741,838,776
1533064091.877,301,732,838,790
1533064091.888,285,731,840,789
1533064091.895,282,728,831,783
1533064091.901,299,724,851,765
1533064091.91,288,716,837,769
1533064091.916,303,719,831,786
1533064091.93,299,727,824,771
1533064091.937,290,724,836,771
1533064091.942,300,716,843,783
1533064091.95,277,726,814,773
1533064091.96,300,728,828,772
1533064091.966,284,715,830,776
1533064091.973,290,730,833,785
1533064091.979,302,733,821,780
1533064091.989,297,719,825,780
1533064091.998,284,727,827,782
1533064092.004,278,727,845,779
1533064092.011,287,727,830,779
1533064092.023,294,731,825,778
1533064092.029,295,729,832,787
1533064092.037,294,731,846,789
1533064092.044,290,733,839,759
1533064092.056,287,736,833,782
1533064092.062,286,738,832,770
1533064092.074,291,728,840,766
1533064092.08,282,716,822,777
1533064092.088,298,741,829,779
1533064092.097,283,741,817,784
1533064092.103,297,725,831,786
1533064092.11,290,751,824,776
1533064092.123,288,740,834,772
1533064092.13,300,737,843,792
1533064092.138,290,736,848,776
1533064092.147,291,746,837,775
1533064092.159,302,742,836,779
1533064092.165,291,719,831,757
1533064092.174,285,737,843,774
1533064092.18,297,728,831,786
1533064092.188,295,741,835,779
1533064092.197,287,730,830,774
1533064092.205,284,724,824,774
1533064092.211,287,733,842,777
1533064092.222,292,732,829,778
1533064092.229,294,731,843,789
1533064092.244,285,737,852,792
1533064092.251,291,728,843,763
1533064092.258,291,740,828,783
1533064092.265,286,732,832,784
1533064092.273,292,735,841,776
1533064092.279,305,742,836,779
1533064092.291,289,723,841,773
1533064092.297,292,738,826,778
1533064092.305,296,727,842,788
1533064092.312,298,735,832,796
1533064092.326,293,724,839,774
1533064092.332,288,731,822,780
1533064092.339,276,706,822,769
1533064092.347,277,704,802,761
1533064092.354,278,699,779,738
1533064092.367,256,617,724,684
1533064092.373,228,616,714,675
1533064092.379,256,635,715,673
1533064092.389,242,608,696,668
1533064092.397,228,612,697,660
1533064092.408,246,612,700,663
1533064092.414,247,610,709,655
1533064092.427,255,631,732,695
1533064092.437,279,670,774,736
1533064092.449,281,708,815,768
1533064092.457,297,731,828,777
1533064092.465,299,742,851,797
1533064092.472,298,735,841,808
1533064092.483,299,757,857,809
1533064092.491,310,741,865,808
1533064092.498,315,758,864,807
1533064092.504,305,769,878,818
1533064092.516,296,772,869,821
1533064092.524,306,770,870,819
1533064092.53,311,766,875,815
1533064092.538,310,762,877,825
1533064092.544,319,774,877,823
1533064092.559,312,773,882,825
1533064092.565,305,784,878,826
1533064092.574,312,773,870,822
1533064092.581,321,773,867,825
1533064092.593,316,777,877,828
1533064092.599,315,770,864,827
1533064092.608,301,771,883,823
1533064092.617,307,774,877,820
1533064092.625,302,757,872,826
1533064092.631,310,783,868,820
1533064092.64,299,766,881,818
1533064092.646,298,774,862,823
1533064092.66,312,767,882,813
1533064092.667,319,774,871,820
1533064092.675,307,771,877,825
1533064092.681,319,780,856,817
1533064092.69,311,769,875,809
