time,value
1532995512.144,416,1139
1532995512.151,426,1146
1532995512.161,414,1114
1532995512.172,400,1074
1532995512.185,426,1179
1532995512.198,427,1136
1532995512.207,439,1157
1532995512.221,398,1092
1532995512.233,413,1131
1532995512.244,462,1233
1532995512.256,404,1098
1532995512.264,415,1118
1532995512.272,421,1124
1532995512.283,452,1208
1532995512.294,452,1240
1532995512.302,389,1084
1532995512.311,440,1187
1532995512.32,438,1193
1532995512.332,426,1164
1532995512.341,334,965
1532995512.348,415,1130
1532995512.362,435,1176
1532995512.376,366,1020
1532995512.384,415,1150
1532995512.397,448,1201
1532995512.411,471,1244
1532995512.418,384,1058
1532995512.427,426,1143
1532995512.434,416,1145
1532995512.446,458,1229
1532995512.454,415,1141
1532995512.463,432,1167
1532995512.472,419,1148
1532995512.482,434,1175
1532995512.49,324,970
1532995512.497,524,1370
1532995512.505,441,1214
1532995512.515,436,1165
1532995512.523,420,1141
1532995512.532,422,1145
1532995512.539,466,1266
1532995512.552,436,1180
1532995512.56,452,1214
1532995512.568,408,1108
1532995512.577,412,1177
1532995512.587,417,1114
1532995512.596,419,1125
1532995512.605,438,1162
1532995512.618,396,1076
1532995512.628,398,1093
1532995512.634,418,1144
1532995512.644,422,1154
1532995512.658,419,1142
1532995512.666,433,1171
1532995512.673,414,1143
1532995512.681,453,1224
1532995512.693,449,1214
1532995512.703,396,1114
1532995512.717,333,947
1532995512.734,420,1149
1532995512.741,430,1130
1532995512.749,430,1139
1532995512.759,417,1161
1532995512.768,394,1118
1532995512.775,429,1152
1532995512.787,310,889
1532995512.798,437,1181
1532995512.805,411,1123
1532995512.814,403,1112
1532995512.824,316,892
1532995512.831,370,1053
1532995512.844,412,1136
1532995512.858,420,1137
1532995512.873,410,1110
1532995512.883,477,1250
1532995512.895,387,1090
1532995512.902,389,1092
1532995512.914,388,1056
1532995512.92,444,1224
1532995512.929,363,1026
1532995512.937,429,1146
1532995512.951,353,946
1532995512.963,412,1103
1532995512.97,393,1085
1532995512.984,342,964
1532995512.997,500,1328
1532995513.008,392,1063
1532995513.019,369,1014
