1533338159.506,288,918,623,863,904,643
1533338159.517,284,905,628,862,903,636
1533338159.524,299,898,636,864,911,632
1533338159.535,294,924,623,872,901,646
1533338159.55,291,927,635,860,898,631
1533338159.558,293,908,631,862,906,636
1533338159.571,272,905,631,871,900,636
1533338159.584,295,909,632,860,901,628
1533338159.602,294,940,650,866,921,660
1533338159.616,295,913,639,867,905,641
1533338159.635,283,907,618,873,902,638
1533338159.65,281,923,631,874,894,630
1533338159.657,296,908,631,865,903,630
1533338159.668,283,913,621,855,893,629
1533338159.691,306,911,631,871,906,639
1533338159.71,297,899,634,871,906,639
1533338159.725,298,909,632,863,907,637
1533338159.734,277,922,642,867,890,635
1533338159.754,309,908,619,874,900,642
1533338159.816,278,920,625,865,892,639
1533338159.849,272,908,628,853,891,639
1533338159.923,263,878,610,829,888,630
1533338159.949,295,915,623,845,892,628
1533338159.998,275,774,616,815,872,616
1533338160.075,281,686,601,773,852,598
1533338160.264,243,657,568,746,816,585
1533338160.28,231,651,582,740,819,588
1533338160.289,242,623,572,739,827,576
1533338160.298,243,663,571,734,811,574
1533338160.324,252,636,562,740,817,583
1533338160.339,246,642,570,743,811,585
1533338160.365,247,643,569,738,815,595
1533338160.393,249,648,562,728,825,585
1533338160.405,239,641,575,739,827,590
1533338160.413,228,651,562,740,819,580
1533338160.427,257,632,561,739,810,579
1533338160.47,239,638,587,745,830,590
1533338160.484,240,654,579,734,808,580
1533338160.513,239,653,584,742,818,579
1533338160.587,244,643,563,741,835,578
1533338160.662,240,663,564,719,822,577
1533338160.72,240,642,570,734,816,585
1533338160.738,244,640,583,732,826,583
1533338160.783,238,655,571,741,814,589
1533338160.812,240,663,582,743,825,594
1533338160.847,249,679,576,740,825,591
1533338160.911,245,671,564,745,824,587
1533338160.986,253,652,592,750,837,595
1533338161.014,237,676,591,746,834,591
1533338161.037,263,667,586,753,852,595
1533338161.078,242,690,602,768,850,602
1533338161.086,254,726,602,759,853,608
1533338161.144,289,867,624,834,899,635
1533338161.186,275,875,601,823,888,624
1533338161.203,279,885,626,836,890,643
1533338161.211,291,903,626,836,893,640
1533338161.221,268,886,618,828,893,614
1533338161.236,300,884,616,838,894,627
1533338161.246,295,910,618,846,897,647
1533338161.271,279,882,611,842,898,625
1533338161.278,289,925,621,846,896,629
1533338161.286,298,891,623,854,892,631
1533338161.304,293,892,618,846,890,629
1533338161.312,275,911,628,829,906,633
1533338161.327,277,880,627,849,890,632
1533338161.343,287,899,613,835,903,633
1533338161.354,278,890,613,832,882,624
1533338161.36,280,910,624,849,905,641
1533338161.375,272,899,634,850,903,651
1533338161.388,283,901,624,846,890,632
1533338161.41,267,912,620,848,898,616
1533338161.418,256,877,609,843,882,626
1533338161.441,276,894,632,845,901,637
1533338161.452,291,890,613,853,897,627
1533338161.463,279,912,620,851,904,634
1533338161.477,275,908,616,850,900,639
1533338161.485,287,890,631,847,903,624
1533338161.502,282,909,632,851,918,634
1533338161.511,286,910,621,843,905,629
1533338161.53,298,918,635,866,901,637
1533338161.543,283,913,651,864,917,638
1533338161.553,272,905,637,844,891,624
1533338161.563,264,897,620,866,886,619
1533338161.596,277,898,618,864,902,629
1533338161.619,293,887,622,853,903,642
1533338161.628,290,905,628,856,894,630
1533338161.636,300,899,619,859,912,630
1533338161.651,292,895,633,858,899,644
1533338161.669,287,878,631,868,897,639
1533338161.697,287,899,628,871,883,639
1533338161.734,289,883,627,852,890,626
1533338161.75,299,898,630,852,910,638
