time,value
1533060618.372,1355,1496
1533060618.386,1359,1488
1533060618.395,1334,1478
1533060618.406,1350,1488
1533060618.433,1351,1474
1533060618.443,1347,1488
1533060618.458,1359,1494
1533060618.467,1368,1495
1533060618.491,1323,1461
1533060618.502,1341,1476
1533060618.547,1336,1477
1533060618.577,1346,1475
1533060618.617,1374,1501
1533060618.63,1354,1512
1533060618.647,1338,1464
1533060618.695,1347,1500
1533060618.708,1328,1452
1533060618.725,1346,1478
1533060618.744,1338,1491
1533060618.759,1342,1492
1533060618.767,1339,1465
1533060618.791,1340,1466
1533060618.8,1351,1486
1533060618.808,1360,1477
1533060618.818,1349,1484
1533060618.825,1338,1497
1533060618.876,1328,1478
1533060618.929,1324,1448
1533060618.941,1321,1442
1533060618.958,1357,1477
1533060618.977,1345,1468
1533060619.011,1365,1500
1533060619.048,1340,1487
1533060619.084,1326,1485
1533060619.106,1343,1460
1533060619.119,1348,1486
1533060619.133,1347,1485
1533060619.158,1336,1483
1533060619.166,1335,1494
1533060619.198,1339,1480
1533060619.206,1327,1477
1533060619.219,1328,1478
1533060619.232,1334,1475
1533060619.239,1344,1488
1533060619.249,1351,1483
1533060619.316,1329,1467
1533060619.331,1335,1473
1533060619.341,1336,1483
1533060619.359,1341,1485
1533060619.376,1347,1494
1533060619.382,1335,1479
1533060619.39,1337,1484
1533060619.397,1318,1456
1533060619.415,1336,1474
1533060619.425,1332,1467
1533060619.452,1347,1470
1533060619.466,1382,1523
1533060619.48,1362,1518
1533060619.493,1386,1533
1533060619.506,1370,1502
1533060619.52,1382,1523
1533060619.54,1363,1498
1533060619.546,1372,1516
1533060619.623,1385,1511
1533060619.639,1423,1569
1533060619.664,1425,1580
1533060619.681,1373,1526
1533060619.694,1395,1547
1533060619.707,1392,1533
1533060619.73,1401,1553
1533060619.77,1393,1528
1533060619.844,1406,1547
1533060619.862,1370,1532
1533060619.87,1410,1553
1533060619.877,1394,1538
1533060619.895,1400,1544
1533060619.912,1389,1533
1533060619.945,1389,1533
1533060620.045,1390,1528
1533060620.053,1369,1499
1533060620.066,1385,1529
1533060620.088,1375,1528
1533060620.095,1378,1525
1533060620.112,1386,1542
1533060620.123,1395,1524
1533060620.145,1357,1512
1533060620.161,1377,1521
1533060620.17,1363,1507
1533060620.219,1358,1475
1533060620.227,1358,1510
1533060620.252,1323,1470
1533060620.261,1329,1479
1533060620.269,1345,1506
1533060620.276,1342,1486
1533060620.289,1359,1497
1533060620.326,1350,1470
1533060620.345,1349,1487
1533060620.353,1338,1476
1533060620.361,1344,1482
1533060620.393,1340,1490
1533060620.443,1356,1494
1533060620.452,1358,1490
1533060620.472,1344,1485
1533060620.479,1341,1488
1533060620.513,1318,1459
1533060620.525,1346,1469
1533060620.547,1367,1503
1533060620.574,1345,1477
1533060620.595,1350,1500
1533060620.613,1360,1495
1533060620.629,1337,1463
1533060620.649,1340,1490
1533060620.655,1366,1504
1533060620.67,1339,1474
1533060620.69,1388,1538
1533060620.7,1349,1478
1533060620.732,1342,1498
1533060620.751,1348,1489
1533060620.767,1349,1490
1533060620.775,1359,1492
1533060620.786,1354,1501
1533060620.8,1350,1482
1533060620.808,1362,1482
1533060620.816,1333,1468
1533060620.824,1345,1468
1533060620.868,1372,1502
1533060620.9,1350,1479
1533060620.949,1346,1484
1533060620.957,1348,1489
1533060621.071,1281,1408
1533060621.092,1286,1413
1533060621.106,1261,1389
1533060621.115,1263,1388
1533060621.129,1291,1412
