time,value
1532995590.885,361,995
1532995590.89,344,993
1532995590.901,346,1000
1532995590.907,352,1015
1532995590.913,353,996
1532995590.921,357,997
1532995590.928,355,992
1532995590.937,363,997
1532995590.943,372,999
1532995590.951,366,994
1532995590.957,363,999
1532995590.969,362,996
1532995590.974,356,1010
1532995590.981,345,991
1532995590.988,362,1004
1532995590.997,359,1001
1532995591.005,355,992
1532995591.011,358,1006
1532995591.023,362,1004
1532995591.029,354,1005
1532995591.036,358,995
1532995591.042,353,993
1532995591.051,354,985
1532995591.059,353,1013
1532995591.07,361,1001
1532995591.077,351,997
1532995591.085,357,1011
1532995591.092,358,1000
1532995591.101,337,992
1532995591.111,350,987
1532995591.118,348,999
1532995591.125,355,1009
1532995591.133,359,1004
1532995591.145,355,1006
1532995591.153,364,995
1532995591.16,359,998
1532995591.168,356,999
1532995591.175,357,1011
1532995591.189,364,1012
1532995591.196,370,1021
1532995591.206,365,1016
1532995591.214,365,1007
1532995591.225,362,1031
1532995591.233,368,1034
1532995591.241,373,1045
1532995591.247,379,1042
1532995591.258,380,1037
1532995591.266,367,1033
1532995591.273,370,1056
1532995591.282,385,1048
1532995591.292,383,1051
1532995591.298,380,1043
1532995591.305,367,1030
1532995591.313,380,1037
1532995591.323,366,1023
1532995591.33,371,1019
1532995591.338,361,1009
1532995591.345,369,1026
1532995591.357,366,1029
1532995591.363,367,1015
1532995591.372,359,1016
1532995591.38,360,1023
1532995591.39,372,1005
1532995591.398,364,1006
1532995591.405,363,1005
1532995591.412,344,1007
1532995591.425,370,1003
1532995591.431,352,1009
1532995591.438,348,1002
1532995591.445,359,999
1532995591.457,343,986
1532995591.463,364,997
1532995591.471,345,999
1532995591.478,349,995
1532995591.496,358,995
1532995591.508,353,975
1532995591.514,344,978
1532995591.525,327,935
1532995591.538,248,780
1532995591.558,247,747
1532995591.567,257,731
1532995591.572,242,701
1532995591.58,232,691
1532995591.588,218,680
1532995591.599,224,677
1532995591.613,235,691
1532995591.62,226,659
1532995591.628,215,680
1532995591.634,218,651
1532995591.65,209,657
1532995591.658,225,672
1532995591.669,217,679
1532995591.679,210,655
1532995591.686,213,649
