time,value
1533062009.671,916,990
1533062009.682,905,970
1533062009.694,875,949
1533062009.71,891,968
1533062009.719,877,966
1533062009.731,892,957
1533062009.747,909,977
1533062009.76,873,927
1533062009.77,915,989
1533062009.779,883,957
1533062009.79,897,962
1533062009.8,872,944
1533062009.817,884,964
1533062009.834,875,955
1533062009.845,904,960
1533062009.854,890,955
1533062009.876,885,944
