time,value
1533061888.431,992,1015
1533061888.437,1000,1017
1533061888.444,998,1033
1533061888.45,971,1011
1533061888.462,991,1032
1533061888.47,974,1011
1533061888.476,1001,1027
1533061888.482,996,1022
1533061888.493,998,1027
1533061888.5,995,1030
1533061888.506,989,1021
1533061888.512,994,1032
1533061888.524,987,1034
1533061888.531,996,1022
1533061888.539,975,1003
1533061888.545,997,1014
1533061888.557,982,1022
1533061888.564,995,1018
1533061888.571,991,1008
1533061888.578,994,1029
1533061888.589,995,1018
1533061888.596,993,1022
1533061888.603,1000,1020
1533061888.61,1010,1021
1533061888.622,979,1020
1533061888.628,985,1014
1533061888.636,974,1020
1533061888.642,987,1010
1533061888.655,985,1014
1533061888.661,996,1019
1533061888.669,971,1002
1533061888.68,981,998
1533061888.687,984,1004
1533061888.693,983,1000
1533061888.701,975,992
1533061888.708,975,998
1533061888.719,972,1003
1533061888.725,980,1003
1533061888.732,972,986
1533061888.738,971,994
1533061888.749,955,978
1533061888.756,958,990
1533061888.762,963,983
1533061888.77,963,983
1533061888.782,954,983
1533061888.789,976,998
1533061888.796,957,995
1533061888.805,965,994
1533061888.813,958,987
1533061888.822,974,999
1533061888.829,952,972
1533061888.837,963,971
1533061888.852,953,982
1533061888.858,962,982
1533061888.865,934,969
1533061888.872,954,959
1533061888.882,940,960
1533061888.89,930,962
1533061888.897,943,972
1533061888.904,937,954
1533061888.919,925,931
1533061888.926,930,956
1533061888.934,927,921
1533061888.944,917,941
1533061888.952,888,909
1533061888.959,900,933
1533061888.968,893,929
1533061888.974,887,897
1533061888.987,905,935
1533061888.994,892,907
1533061889.003,902,911
1533061889.01,890,911
1533061889.022,897,915
1533061889.029,890,914
1533061889.038,891,927
1533061889.045,896,932
1533061889.058,912,921
1533061889.064,889,913
1533061889.073,906,921
1533061889.08,911,932
1533061889.093,906,921
1533061889.101,901,934
1533061889.109,888,933
1533061889.118,901,922
1533061889.129,913,928
1533061889.138,909,933
1533061889.145,891,921
1533061889.155,900,930
1533061889.168,891,918
1533061889.175,893,926
1533061889.183,895,916
1533061889.195,890,926
1533061889.204,909,927
1533061889.211,889,916
1533061889.219,901,925
1533061889.227,899,929
1533061889.237,910,919
1533061889.244,926,929
1533061889.253,903,918
1533061889.259,903,915
1533061889.273,906,930
1533061889.28,901,913
1533061889.289,888,918
1533061889.296,899,911
1533061889.311,893,917
